locality_name,gazetted_locality_name,vicnames_id,ufi,pfi,source
AREEGRA,AREEGRA,100190,468965118,205407944,Victoria Locality Boundary layer (MapServer/2)
ARGYLE,ARGYLE,100191,824742322,205409508,Victoria Locality Boundary layer (MapServer/2)
ARMADALE,ARMADALE,100192,743233299,205410284,Victoria Locality Boundary layer (MapServer/2)
ARMSTRONG,ARMSTRONG,100193,504160918,205409532,Victoria Locality Boundary layer (MapServer/2)
ARMSTRONG CREEK,ARMSTRONG CREEK,104540,796758813,219263584,Victoria Locality Boundary layer (MapServer/2)
ARNOLD,ARNOLD,100194,835229242,205408711,Victoria Locality Boundary layer (MapServer/2)
ARNOLD WEST,ARNOLD WEST,100195,835229241,205409100,Victoria Locality Boundary layer (MapServer/2)
ARTHURS CREEK,ARTHURS CREEK,100196,713612006,205409018,Victoria Locality Boundary layer (MapServer/2)
ARTHURS SEAT,ARTHURS SEAT,100197,776340606,205409911,Victoria Locality Boundary layer (MapServer/2)
ASCOT (BALLARAT),ASCOT,100198,831486736,205409013,Victoria Locality Boundary layer (MapServer/2)
ASCOT (BENDIGO),ASCOT,100199,824742266,205409797,Victoria Locality Boundary layer (MapServer/2)
ASCOT VALE,ASCOT VALE,100200,856190240,205410160,Victoria Locality Boundary layer (MapServer/2)
ASHBOURNE,ASHBOURNE,100201,839445913,205408938,Victoria Locality Boundary layer (MapServer/2)
ASHBURTON,ASHBURTON,100202,857371269,205410231,Victoria Locality Boundary layer (MapServer/2)
ASHWOOD,ASHWOOD,100203,873205680,205410256,Victoria Locality Boundary layer (MapServer/2)
ASPENDALE,ASPENDALE,100204,720822385,205410230,Victoria Locality Boundary layer (MapServer/2)
ASPENDALE GARDENS,ASPENDALE GARDENS,100205,761136273,205410206,Victoria Locality Boundary layer (MapServer/2)
ATHLONE,ATHLONE,100206,812374020,205409229,Victoria Locality Boundary layer (MapServer/2)
ATTWOOD,ATTWOOD,100207,869805146,205410086,Victoria Locality Boundary layer (MapServer/2)
AUBREY,AUBREY,100208,468965130,205408514,Victoria Locality Boundary layer (MapServer/2)
AUCHMORE,AUCHMORE,100209,835229222,205408315,Victoria Locality Boundary layer (MapServer/2)
AVALON,AVALON,100210,728238606,205408767,Victoria Locality Boundary layer (MapServer/2)
AVENEL,AVENEL,100212,840422603,205407612,Victoria Locality Boundary layer (MapServer/2)
AVOCA,AVOCA,100213,835229258,205408035,Victoria Locality Boundary layer (MapServer/2)
AVON PLAINS,AVON PLAINS,100214,468965347,205408502,Victoria Locality Boundary layer (MapServer/2)
AVONDALE HEIGHTS,AVONDALE HEIGHTS,100215,857371256,205410060,Victoria Locality Boundary layer (MapServer/2)
AVONMORE,AVONMORE,100216,824742245,205408369,Victoria Locality Boundary layer (MapServer/2)
AVONSLEIGH,AVONSLEIGH,100217,820278150,205409963,Victoria Locality Boundary layer (MapServer/2)
AXE CREEK,AXE CREEK,100218,824742302,205408858,Victoria Locality Boundary layer (MapServer/2)
AXEDALE,AXEDALE,100219,824742278,205407951,Victoria Locality Boundary layer (MapServer/2)
AYRFORD,AYRFORD,100221,810305696,205409560,Victoria Locality Boundary layer (MapServer/2)
BACCHUS MARSH,BACCHUS MARSH,100222,857413522,205409813,Victoria Locality Boundary layer (MapServer/2)
BADDAGINNIE,BADDAGINNIE,100223,849561995,205408238,Victoria Locality Boundary layer (MapServer/2)
BADGER CREEK,BADGER CREEK,100225,820278091,205409806,Victoria Locality Boundary layer (MapServer/2)
BAEL BAEL,BAEL BAEL,100226,468964876,205408595,Victoria Locality Boundary layer (MapServer/2)
BAGSHOT,BAGSHOT,100227,824742254,205408947,Victoria Locality Boundary layer (MapServer/2)
BAGSHOT NORTH,BAGSHOT NORTH,100228,824742247,205408510,Victoria Locality Boundary layer (MapServer/2)
BAHGALLAH,BAHGALLAH,100229,795436745,205408078,Victoria Locality Boundary layer (MapServer/2)
BAILIESTON,BAILIESTON,100230,840422591,205408051,Victoria Locality Boundary layer (MapServer/2)
BAIRNSDALE,BAIRNSDALE,100231,836975039,205408443,Victoria Locality Boundary layer (MapServer/2)
BAKERY HILL,BAKERY HILL,100232,829328758,205410395,Victoria Locality Boundary layer (MapServer/2)
BALACLAVA,BALACLAVA,100233,743233305,205410372,Victoria Locality Boundary layer (MapServer/2)
